# DExtra_Hosts.txt downloaded from http://www.pistar.uk/downloads/DExtra_Hosts.txt
# DExtra Hosts resolved from the XReflector Directory (http://xrefl.net),
# additional host information sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Thursday 9th of November 2023
XRF000	24.172.229.156
XRF001	80.211.62.178
XRF002	52.36.45.107
XRF003	173.199.124.183
XRF004	44.103.34.3
XRF005	35.182.9.157
XRF006	45.76.1.189
XRF007	82.223.18.138
XRF008	45.77.153.132
XRF009	118.150.164.96
XRF010	85.197.129.86
XRF011	81.95.126.168
XRF012	216.240.173.55
XRF013	18.188.189.124
XRF014	94.177.175.230
XRF015	194.59.205.228
XRF016	44.143.40.30
XRF017	191.162.182.190
XRF018	199.167.129.166
XRF019	31.7.247.58
XRF020	66.175.215.217
XRF021	148.251.94.163
XRF022	144.202.64.224
XRF023	77.85.192.94
XRF024	5.185.11.62
XRF025	89.38.150.252
XRF026	146.168.130.22
XRF027	141.95.67.138
XRF028	216.128.130.30
XRF029	188.22.212.12
XRF030	194.59.177.44
XRF031	65.114.195.171
XRF032	158.64.26.140
XRF033	152.228.170.16
XRF034	216.128.140.118
XRF035	45.79.94.184
XRF036	101.89.136.112
XRF037	185.58.193.163
XRF038	44.103.34.19
XRF039	212.237.3.90
XRF040	185.11.166.85
XRF041	66.30.219.127
XRF042	44.168.53.137
XRF043	206.189.239.225
XRF044	45.33.92.245
XRF045	70.44.20.24
XRF046	190.54.137.189
XRF047	202.171.147.58
XRF048	37.133.49.190
XRF050	140.82.51.26
XRF051	84.127.121.37
XRF052	128.22.149.69
XRF053	10.49.243.18
XRF054	51.83.186.28
XRF055	52.80.4.154
XRF056	66.42.126.197
XRF058	150.66.16.176
XRF059	68.0.254.102
XRF060	45.76.133.116
XRF061	192.248.160.49
XRF062	191.101.234.148
XRF064	122.222.1.50
XRF065	65.189.90.77
XRF066	47.100.164.89
XRF067	96.30.199.12
XRF068	91.121.90.186
XRF069	51.77.213.200
XRF070	210.222.191.83
XRF071	211.60.41.185
XRF072	45.22.199.201
XRF073	45.77.192.120
XRF074	222.128.4.82
XRF075	211.60.41.186
XRF076	203.137.116.117
XRF077	45.135.250.239
XRF078	139.196.158.18
XRF079	182.45.243.110
XRF080	112.71.242.78
XRF081	180.145.111.176
XRF082	144.202.78.176
XRF083	89.47.182.163
XRF084	136.244.64.57
XRF085	113.150.26.8
XRF086	140.179.13.243
XRF087	45.10.72.225
XRF088	44.137.37.242
XRF089	45.32.164.62
XRF090	18.234.51.231
XRF091	34.74.67.173
XRF093	79.47.221.252
XRF094	64.98.124.27
XRF095	203.137.76.53
XRF096	121.145.136.53
XRF097	207.246.112.46
XRF098	122.133.230.166
XRF099	5.189.162.5
XRF100	24.172.229.149
XRF101	24.172.229.150
XRF102	24.172.229.151
